wr_10,wr_8,wr_9,"경도
lng","국가 2자리코드
code2","국가명 한글
country_kname","도시 3자리코드
ctCode","명소 (영문)주소
latlng",명소 이름,"영문 도시명
ctEname","위도
lat","유엔 구분
un_subregion","한글 도시명
ctKname","한글설명
expl"
,,,,IS,아이슬란드,,,데티포스 폭포 Dettifoss,,,Northern Europe,,
parsing0608,https://www.windsortour.co.kr/images/area_img/NO/BRK/NOBRK3200605_0002.jpg,605,,NO,노르웨이,BRK,,브릭스달 빙하 Briksdalsbre,BOURKE,,Northern Europe,BRK,.노르웨이 서부 송노피오라네주의 스트륀자치구에 있는 빙하. 빙하가 호수나 바다로 녹아내리는 끝부분이 혀처럼 내밀어져있다고 해서 빙하의 혀 라고 불리웁니다. 유럽대륙에서 가장 큰 빙하인 요스테달 빙하의 북쪽에 있는 지류빙하로 지구 온난화로 많이 녹아 내리긴 헀지만 여전히 아름답고 빼어난 풍광을 자랑합니다. 요스테달 빙하군에 속해 있으며 국립공원 보호지역으로 지정되어 있습니다
parsing0608,https://www.windsortour.co.kr/images/area_img/DK/CPH/DKCPH3200764_0002.jpg,764,,DK,덴마크,CPH,,왕립도서관 Det Kongelige Bibliotek,COPENHAGEN,,Northern Europe,코펜하겐,"‘블랙 다이아몬드(Black Diamond)’라는 애칭으로 더 많이 불리는 덴마크 왕립도서관 겸 국립도서관으로 운하를 내려다보듯이 세워졌으며 디자인은 덴마크의 디자인 그룹인 슈미트, 햄머&라센이 디자인 하였습니다."
parsing0608,https://www.windsortour.co.kr/images/area_img/IR/IFN/IRIFN3201317_0001.jpg,1317,,IR,이란,IFN,,시오세 폴 다리 Si O Se Pol Bridge,Isfahan,,Southern Asia,이스파한,"‘시오세’는 페르시아어로 ‘33’을 의미하며, 신성한 숫자 33개의 아치로 구성된 다리로 이스파한의 상징입니다. 자얀데 강에서 가장 긴 다리로 이맘 광장의 셰이크로트폴라 모스크를 설계한 건축가의 아버지 오스타드 후세인 반나 에스파하니의 작품으로 해질녘 셰이크로트폴라 모스크의 돔처럼 시오세 폴 역시 황금빛으로 빛이 납니다."
parsing0608,https://www.windsortour.co.kr/images/area_img/TR/SAN/TRSAN3201895_0002.jpg,1895,,TR,튀르키예,SAN,,샨르우르파 시내 Sanliurfa,SAN DIEGO,,Western Asia,샌디에고,"‘예언자의 도시’라는 별칭을 갖고 있는 샨르우르파는 3대 종교가 다 같이 순례지로 여기는 곳으로, 이슬람에서는 아브라함이 이곳에서 태어났다고 전해오고 있으며, 기독교에서는 이곳이 바로 기독교가 국가 종교로서 첫 공인을 얻은 ‘에데사’라고 믿고 있습니다."
parsing0608,https://www.windsortour.co.kr/images/area_img/CZ/PRG/CZPRG3200277_0002.jpg,277,,CZ,체코,PRG,,천문시계 Prague astronomical clock,PRAGUE,,Eastern Europe,프라하,‘프라하 구 시청사의 명물 천문 시계탑은 1410년에 만들어져 체코 고딕 시대의 기술과 과학이 깃든 결정판이라고 평가될 정도로 기발하고 정교합니다. 600년이 넘도록 프라하 역사와 함께한 시계는 원형에 거의 가까운 형태로 보존되어 왔습니다.
parsing0608,https://www.windsortour.co.kr/images/area_img/FR/CMR/FRCMR3200546_0002.jpg,546,12.3155151  위경도가 없을시 수정버튼 누르고 그냥 저장.,FR,프랑스,CMR,,쁘띠 베니스 Petite Venice,COLMAR,45.4408474,Western Europe,콜마르,‘프티 브니즈(Petite Venise)’란 이름 그대로 프랑스의 작은 베네치아로 불릴 만큼 아름다운 강변 경치를 간직한 곳으로 유명한곳입니다.  거리 한가운데에는 콜마르가 14세기부터 17세기까지 알자스 지방(현 그랑테스트 레지옹)의 대표적인 무역 도시로 성장하는데 중요한 역할을 한 로슈(Lauch) 강이 관통하고 있으며 이를 연결하는 작은 다리들이 곳곳에 놓여 있습니다.. 옛 모습을 그대로 간직한 채 강변을 따라 쭉 늘어서 있는 반 목조 가옥들도 인상적입니다. 건물 대부분이 지역 특유의 건축미를 가졌을 뿐 아니라 밝고 화려한 색깔로 칠해져 환상적인 분위기를 자아냅니다. 근래에는 배를 타고 16세기 전통 가옥들을 관람하는 보트 여행이 큰 인기를 누리고 있습니다.
parsing0608,https://www.windsortour.co.kr/images/area_img/TR/NAV/TRNAV3201009_0003.jpg,1009,,TR,튀르키예,NAV,,우치히사르 Uchisar,Nevsehir/Kapadokya,,Western Asia,,"\""뾰족한 성채\""를 의미하는 이곳은 커다란 바위산을 중심으로 크고 작은 여러 바위산이 모여 있어서 견고한 요새와 같은 분위기를 연출합니다. 지진으로 만들어졌으며 실제 주거 용도로도 사용되고 있습니다."
parsing0608,https://www.windsortour.co.kr/images/area_img/FR/XCF/FRXCF3200534_0003.jpg,534,,FR,프랑스,XCF,,에귀디미디 전망대 Aiguille du Midi,,,Western Europe,,"\'남쪽의 바늘\'이라는 뜻으로 몽블랑을 가장 가까이서 볼 수 있는 전망대, 에귀디 미디 전망대(3842m), 하늘을 찌를 듯 치솟아 있는 에귀디 미디 전망대는 알프스 최고봉인 몽블랑을 가장 잘 감상할 수 있는 전망대라고 합니다. 샤모니 지역의 프랑스와 이탈리아 접경지에 있는 에귀뒤미디(한낮의 바늘) 봉은 아름다운 경관, 등산로, 케이블카, 몽블랑과 가까운 위치 덕분에 유명해졌습니다. 두 군데의 역을 거쳐 24킬로미터를 달리는 케이블카는 블랑슈밸리와 장글라시에르를 가로질러 2,308미터 높이에 있는 플랑드레귀(2317m)를 거쳐 에귀디 미디 전망대(3842m)도착합니다."
parsing0608,https://www.windsortour.co.kr/images/area_img/IL/BET/ILBET3201297_0002.jpg,1297,,IL,이스라엘,BET,,목자들의 들판 교회 Shepherds' Field Chapel,BETHEL,,Western Asia,베델,"\'목자들의 들판 성당\', \'양치기 사원\'으로도 불리는 이 교회는 천사들이 들판의 목자들에게 예수가 베들레헴에서 태어났다는 소식을 전한 곳으로 추정되는 곳을 기념하여 세워진 교회입니다."
parsing0608,https://www.windsortour.co.kr/images/area_img/HU/BUD/HUBUD3200390_0002.jpg,390,,HU,헝가리,BUD,,세체니 다리 Chain Bridge,BUDAPEST,,Eastern Europe,부다페스트,"\'사슬 다리\' 라는 의미의 세체니 다리는 헝가리의 수도 부다페스트의 서쪽 지구 부다와 동쪽 지구 페슈트 사이에 있는 도나우 강에 놓인 현수교입니다. 이 다리는 부다페스트의 도나우 강을 가로질러 놓인 최초의 다리이며, 1849년에 개통되었습니다."
parsing0608,https://www.windsortour.co.kr/images/area_img/DE/NUE/DENUE3201704_0001.jpg,1704,,DE,독일,NUE,,뉘른베르크 구시가지 Nuremberg Old Town,Nuremberg,,Western Europe,뉘른베르크,\'신성로마제국의 작은 보석 상자\' 뉘른베르크를 일컫는 별칭을 가지고 있으며 그만큼 뉘른베르크는 역사도 오래 되었습니다. 뉘른베르크 도시 분위기를 볼 수 있는 구시가지입니다.
parsing0608,https://www.windsortour.co.kr/images/area_img/FR/ZAF/FRZAF3200563_0002.jpg,563,,FR,프랑스,ZAF,,에스빠스 반 고흐 Espace Van Gogh,,,Western Europe,,"\'에스파스 반 고흐(Espace Van Gogh)\' 건물 내부에는 빈센트 반 고흐의 삶과 예술세계를 알 수 있게 해주는 문서 자료와 작품들이 다양하게 진열되어 있습니다. 빈센트 반 고흐의 그림 《아를 요양원의 정원(Le Jardin de la Maison de Santé a Arles, 1889)》을 토대로 건물뿐만 아니라 정원까지 그대로 복구해 놓은 것도 인상적입니다. 방문객들은 정원 입구에 걸린 고흐의 그림을 실제 풍경과 비교해 볼 수 있습니다."
